url,name,description,sku,image,originalPrice,discountedPrice,priceCurrency,availability,seller,ratingValue,ratingCount
https://axarobd.com/product/regular-fit-pikachu-manga-yellow/,Regular Fit Pikachu Manga Yellow,"Regular Fit Pikachu Manga Yellow

&amp;nbsp;

Introducing our ""Regular Fit Pikachu Manga Yellow"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Yellow Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-01,https://axarobd.com/wp-content/uploads/2023/11/DSCF3923-Website.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-luffy-3-biscuit/,Regular Fit Luffy 3 Biscuit,"Regular Fit Luffy 3 Biscuit

&amp;nbsp;

Introducing our ""Regular Fit Luffy 3 Biscuit"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Biscuit Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-19,https://axarobd.com/wp-content/uploads/2023/11/DSCF3879_1-Website.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-friends-ross-yellow/,Regular Fit Friends ROSS Yellow,"Regular Fit Friends ROSS Yellow

&amp;nbsp;

Introducing our ""Regular Fit Friends ROSS Yellow"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Yellow Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-27,https://axarobd.com/wp-content/uploads/2023/11/DSCF3818_1-Website.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-sherlock-biscuit/,Regular Fit Sherlock Biscuit,"Regular Fit Sherlock Biscuit

&amp;nbsp;

Introducing our ""Regular Fit Sherlock Biscuit"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Biscuit Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-33,https://axarobd.com/wp-content/uploads/2023/11/DSCF3803_1-Website.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-friends-poster-petrol-blue/,Regular Fit Friends Poster Petrol Blue,"Regular Fit Friends Poster Petrol Blue

&amp;nbsp;

Introducing our ""Regular Fit Friends Poster Petrol Blue"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Black Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-40,https://axarobd.com/wp-content/uploads/2023/11/DSCF3782_1-Website.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-wolverine-mint/,Regular Fit Wolverine Mint,"Regular Fit Wolverine Mint

&amp;nbsp;

Introducing our ""Regular Fit Wolverine Mint"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Mint Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-41,https://axarobd.com/wp-content/uploads/2024/07/DSCF7041.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-ironman-maroon/,Regular Fit Ironman Maroon,"Regular Fit Ironman Maroon

&amp;nbsp;

Introducing our ""Regular Fit Ironman Maroon"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Maroon Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-42,https://axarobd.com/wp-content/uploads/2024/07/DSCF7073.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-batman-black/,Regular Fit Batman Black,"Regular Fit Batman Black

&amp;nbsp;

Introducing our ""Regular Fit Batman Black"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Black Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-45,https://axarobd.com/wp-content/uploads/2024/07/DSCF7068.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-hulk-petrol/,Regular Fit Hulk Petrol,"Regular Fit Hulk Petrol

&amp;nbsp;

Introducing our ""Regular Fit Hulk Petrol"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Petrol Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-48,https://axarobd.com/wp-content/uploads/2024/07/DSCF7057.webp,,500,BDT,In Stock,Axaro,,
https://axarobd.com/product/regular-fit-batman-navy/,Regular Fit Batman Navy,"Regular Fit Batman Navy

&amp;nbsp;

Introducing our ""Regular Fit Batman Navy"" t-shirt which is made from 100% cotton fabric with digital print. It typically features a crew neck, short sleeves, and a regular fit. This t-shirt offers ultimate comfort and ensuring a pleasant wear throughout the day. It’s available in a range of sizes.

&amp;nbsp;

Details

 	Regular Fit
 	Half Sleeves
 	Unisex
 	Made in Bangladesh

&amp;nbsp;

Material

 	Navy Color
 	Cotton Fabrics
 	Digital Print
 	GSM 180
 	Crew Neck

&amp;nbsp;

You can also visit our shop page, facebook page and instagram page.",RP-49,https://axarobd.com/wp-content/uploads/2024/07/DSCF7054.webp,,500,BDT,In Stock,Axaro,,
